Person i,X,Y,,,,
98,1.004,1.700,,,,
99,0.503,0.134,,,,
100,1.646,2.594,,,,
101,-0.448,-0.798,,,,
102,1.039,1.530,,,,
103,1.511,2.591,,,,
104,1.657,2.979,,,,
105,4.061,6.502,,,,
106,2.461,4.109,,,,
107,2.093,3.963,,,,
108,-1.007,-1.436,,,,
109,0.259,-0.679,,,,
110,0.659,0.358,,,,
111,0.725,0.658,,,,
112,1.787,3.491,,,,
113,3.094,4.789,,,,
114,2.401,4.007,,,,
115,0.787,0.864,,,,
116,0.988,0.503,,,,
117,-0.129,-0.159,,,,
118,0.794,1.758,,,,
119,1.352,0.757,,,,
120,1.686,2.761,,,,
121,0.827,1.505,,,,
122,1.248,1.748,,,,
123,0.635,1.676,,,,
124,1.017,1.688,,,,
125,0.195,0.634,,,,
126,1.942,3.441,,,,
127,1.181,2.263,,,,
128,-0.211,0.021,,,,
129,1.742,3.341,,,,
130,0.804,1.298,,,,
131,0.914,1.816,,,,
132,-0.681,-1.071,,,,
133,0.636,1.013,,,,
134,0.437,0.729,,,,
135,2.984,5.424,,,,
136,-0.410,0.110,,,,
137,1.746,2.924,,,,
138,0.644,0.667,,,,
139,1.660,2.073,,,,
140,1.696,2.934,,,,
141,1.655,2.622,,,,
142,0.705,1.291,,,,
143,-0.242,0.127,,,,
144,0.681,1.080,,,,
145,1.973,3.089,,,,
146,0.858,2.710,,,,
147,1.151,0.963,,,,
148,1.551,2.644,,,,
149,1.003,2.483,,,,
150,1.321,1.869,,,,
151,1.684,1.990,,,,
152,0.418,1.112,,,,
153,1.643,2.195,,,,
154,1.732,2.980,,,,
155,2.129,2.929,,,,
156,1.743,3.007,,,,
157,1.283,2.400,,,,
158,0.387,1.042,,,,
159,1.178,0.982,,,,
160,2.042,2.241,,,,
161,2.592,3.175,,,,
162,-0.132,0.366,,,,
163,0.608,0.993,,,,
164,0.175,0.579,,,,
165,1.169,1.745,,,,
166,0.389,0.968,,,,
167,1.798,3.316,,,,
168,-1.147,-1.875,,,,
169,2.259,3.491,,,,
170,0.409,-0.015,,,,
171,1.592,2.713,,,,
172,-1.145,-1.259,,,,
173,-0.262,-0.423,,,,
174,-0.051,-0.126,,,,
175,0.529,1.283,,,,
176,3.288,5.505,,,,
177,-0.447,-0.588,,,,
178,0.396,1.101,,,,
179,0.369,0.614,,,,
180,1.087,0.996,,,,
181,2.001,1.230,,,,
182,1.469,1.790,,,,
183,0.952,1.507,,,,
184,2.321,3.179,,,,
185,0.582,0.189,,,,
186,0.469,0.679,,,,
187,0.829,0.216,,,,
188,0.729,1.116,,,,
189,0.302,0.345,,,,
190,-0.768,-0.849,,,,
191,-0.481,-1.006,,,,
192,1.265,2.137,,,,
193,1.414,2.020,,,,
194,0.551,0.839,,,,
195,2.323,3.789,,,,
196,1.488,2.513,,,,
197,1.128,1.644,,,,
198,-0.476,-1.647,,,,
199,0.944,1.401,,,,
200,1.115,2.223,,,,
201,0.805,1.041,,,,
202,1.685,2.314,,,,
203,2.240,4.723,,,,
204,0.839,0.907,,,,
205,1.471,1.500,,,,
206,2.122,3.559,,,,
207,2.909,4.112,,,,
208,1.162,2.005,,,,
209,-0.112,0.204,,,,
210,0.960,1.569,,,,
211,-0.452,-0.165,,,,
212,0.250,0.016,,,,
213,-0.186,-0.918,,,,
214,1.678,1.701,,,,
215,1.822,2.380,,,,
216,-0.078,-0.545,,,,
217,1.530,1.637,,,,
218,1.238,2.225,,,,
219,1.677,2.398,,,,
220,0.673,1.301,,,,
221,0.888,1.122,,,,
222,0.772,1.617,,,,
223,-0.294,-0.029,,,,
224,-0.995,-1.516,,,,
225,1.582,2.688,,,,
226,-0.001,-0.373,,,,
227,0.343,1.320,,,,
228,0.546,-0.425,,,,
229,0.116,0.482,,,,
230,0.421,0.375,,,,
231,2.276,3.502,,,,
232,0.088,0.218,,,,
233,2.290,3.284,,,,
234,0.590,0.895,,,,
235,0.711,1.120,,,,
236,0.418,0.854,,,,
237,0.362,0.379,,,,
238,2.003,2.221,,,,
239,-0.132,0.101,,,,
240,1.922,2.644,,,,
241,0.948,2.246,,,,
242,1.205,1.520,,,,
243,1.484,1.150,,,,
244,0.263,0.919,,,,
245,-0.027,-0.744,,,,
246,0.434,0.810,,,,
247,1.957,3.153,,,,
248,0.647,1.868,,,,
249,0.642,1.228,,,,
250,0.656,0.608,,,,
251,0.238,0.582,,,,
252,0.739,1.125,,,,
253,1.364,2.991,,,,
254,2.732,4.189,,,,
255,1.585,2.069,,,,
256,1.093,1.549,,,,
257,1.477,1.547,,,,
258,0.898,1.305,,,,
259,-0.421,-0.373,,,,
260,1.261,1.404,,,,
261,1.722,2.805,,,,
262,1.999,3.349,,,,
263,0.883,1.344,,,,
264,0.977,1.679,,,,
265,1.127,1.320,,,,
266,1.133,1.350,,,,
267,0.354,0.095,,,,
268,2.937,3.879,,,,
269,1.045,1.168,,,,
270,-1.034,-1.431,,,,
271,0.631,0.319,,,,
272,0.781,1.417,,,,
273,-0.870,-2.069,,,,
274,1.657,2.030,,,,
275,1.121,1.422,,,,
276,1.132,1.650,,,,
277,2.879,4.066,,,,
278,0.722,1.320,,,,
279,1.194,1.674,,,,
280,1.981,2.033,,,,
281,-0.095,-0.248,,,,
282,0.216,0.253,,,,
283,0.753,1.210,,,,
284,1.753,2.439,,,,
285,0.684,0.683,,,,
286,1.040,1.666,,,,
287,0.747,1.387,,,,
288,1.257,2.381,,,,
289,0.534,0.883,,,,
290,2.601,4.490,,,,
291,1.884,2.352,,,,
292,0.724,1.407,,,,
293,1.302,1.523,,,,
294,0.733,1.516,,,,
295,1.701,2.695,,,,
296,0.376,1.014,,,,
297,1.287,2.117,,,,
298,0.017,-0.054,,,,
299,2.021,3.040,,,,
300,1.474,2.395,,,,
301,0.092,0.289,,,,
302,0.921,1.730,,,,
303,-0.641,-0.891,,,,
304,0.708,0.318,,,,
305,1.791,2.542,,,,
306,-1.127,-1.969,,,,
307,-0.178,-0.514,,,,
308,2.593,4.298,,,,
309,1.535,1.978,,,,
310,0.190,-0.271,,,,
311,-0.616,-1.045,,,,
312,-0.199,-0.569,,,,
313,0.348,0.177,,,,
314,0.118,-0.122,,,,
315,0.961,0.930,,,,
316,1.302,3.161,,,,
317,0.674,1.440,,,,
318,2.827,4.283,,,,
319,0.911,1.297,,,,
320,1.482,2.106,,,,
321,0.400,0.451,,,,
322,1.967,3.554,,,,
323,3.048,4.707,,,,
324,0.916,2.202,,,,
325,-0.149,0.352,,,,
326,1.995,3.091,,,,
327,1.829,3.023,,,,
328,1.896,3.419,,,,
329,1.951,3.412,,,,
330,0.475,0.999,,,,
331,2.984,3.882,,,,
332,2.248,3.743,,,,
333,1.908,3.759,,,,
334,1.869,3.323,,,,
335,1.148,1.911,,,,
336,1.758,3.660,,,,
337,2.761,4.839,,,,
338,0.904,1.151,,,,
339,1.064,1.977,,,,
340,1.639,1.381,,,,
341,2.452,3.600,,,,
342,0.043,0.525,,,,
343,-0.056,-0.195,,,,
344,-1.503,-2.758,,,,
345,2.683,4.017,,,,
346,0.173,-0.319,,,,
347,0.435,1.758,,,,
348,1.061,1.549,,,,
349,-0.420,-1.298,,,,
350,0.426,0.997,,,,
351,-0.126,-0.934,,,,
352,-0.411,-1.184,,,,
353,0.038,-0.530,,,,
354,0.473,-0.006,,,,
355,0.839,1.303,,,,
356,0.756,0.012,,,,
357,0.904,1.916,,,,
358,1.815,2.201,,,,
359,2.247,2.844,,,,
360,0.626,0.576,,,,
361,1.342,1.829,,,,
362,2.633,4.483,,,,
363,-0.257,-0.563,,,,
364,1.669,2.525,,,,
365,1.229,2.099,,,,
366,-0.751,-2.457,,,,
367,1.638,2.604,,,,
368,1.770,2.845,,,,
369,1.013,1.120,,,,
370,0.871,1.555,,,,
371,2.341,3.032,,,,
372,0.805,1.226,,,,
373,2.933,3.803,,,,
374,-0.349,-0.736,,,,
375,0.338,1.119,,,,
376,-0.643,-1.279,,,,
377,1.281,1.739,,,,
378,1.155,2.071,,,,
379,1.163,2.406,,,,
380,-0.508,0.037,,,,
381,0.606,0.278,,,,
382,1.166,1.244,,,,
383,1.260,2.898,,,,
384,2.026,2.815,,,,
385,0.620,0.762,,,,
386,0.547,0.125,,,,
387,0.152,0.030,,,,
388,0.719,0.811,,,,
389,1.966,2.341,,,,
390,0.521,1.309,,,,
391,1.656,2.346,,,,
392,-1.761,-3.837,,,,
393,-0.264,-0.652,,,,
394,-0.436,-1.630,,,,
395,0.453,1.325,,,,
396,0.488,0.989,,,,
397,0.791,0.749,,,,
398,0.616,1.528,,,,
399,1.307,2.867,,,,
400,-0.070,0.234,,,,
401,-1.668,-2.664,,,,
402,0.200,0.408,,,,
403,1.939,3.387,,,,
404,1.529,2.052,,,,
405,0.507,0.148,,,,
406,-1.064,-1.201,,,,
407,1.692,2.457,,,,
408,0.663,-0.587,,,,
409,0.929,1.414,,,,
410,0.404,0.271,,,,
411,2.117,2.563,,,,
412,1.287,1.894,,,,
413,-0.382,-0.783,,,,
414,1.968,2.463,,,,
415,1.842,2.946,,,,
416,0.608,-0.318,,,,
417,1.753,1.950,,,,
418,-0.770,-0.932,,,,
419,0.753,1.017,,,,
420,1.926,2.467,,,,
421,2.404,3.072,,,,
422,-0.125,-0.565,,,,
423,1.749,2.056,,,,
424,-1.185,-1.216,,,,
425,-1.568,-2.302,,,,
426,1.992,3.109,,,,
427,-1.895,-2.983,,,,
428,0.745,1.611,,,,
429,1.608,2.636,,,,
430,0.578,0.904,,,,
431,0.191,0.296,,,,
432,0.960,1.058,,,,
433,-1.088,-2.453,,,,
434,0.812,2.176,,,,
435,1.385,1.936,,,,
436,0.600,0.592,,,,
437,1.875,2.809,,,,
438,1.901,2.598,,,,
439,-0.593,-0.483,,,,
440,-0.289,0.417,,,,
441,-0.241,-0.537,,,,
442,0.824,1.641,,,,
443,2.241,3.523,,,,
444,2.639,4.429,,,,
445,0.255,0.726,,,,
446,2.070,2.965,,,,
447,0.437,0.507,,,,
448,0.868,0.474,,,,
449,0.176,0.356,,,,
450,1.113,1.613,,,,
451,1.625,3.172,,,,
452,3.320,4.778,,,,
453,0.896,2.264,,,,
454,1.614,2.739,,,,
455,2.162,2.828,,,,
456,0.708,1.004,,,,
457,2.932,4.069,,,,
458,0.926,1.184,,,,
459,2.039,2.901,,,,
460,-0.408,-0.705,,,,
461,-0.054,-0.665,,,,
462,-1.684,-2.009,,,,
463,1.335,1.978,,,,
464,2.313,2.888,,,,
465,2.140,2.886,,,,
466,2.092,3.273,,,,
467,0.017,0.033,,,,
468,0.402,0.747,,,,
469,0.150,0.216,,,,
470,-1.103,-1.846,,,,
471,-0.864,-1.429,,,,
472,0.386,-0.217,,,,
473,2.053,3.587,,,,
474,0.385,1.291,,,,
475,0.953,0.944,,,,
476,1.637,2.289,,,,
477,2.453,3.562,,,,
478,0.555,0.521,,,,
479,0.882,2.013,,,,
480,1.351,2.192,,,,
481,0.215,0.238,,,,
482,2.232,3.176,,,,
483,1.879,2.989,,,,
484,0.260,-0.434,,,,
485,1.543,2.478,,,,
486,3.665,5.607,,,,
487,3.435,4.957,,,,
488,1.262,2.062,,,,
489,-0.040,-0.322,,,,
490,0.010,-0.618,,,,
491,2.941,3.927,,,,
492,2.635,3.321,,,,
493,-0.064,0.234,,,,
494,0.639,1.634,,,,
495,2.553,3.176,,,,
496,2.588,3.575,,,,
497,1.626,2.793,,,,
498,0.418,0.218,,,,
499,1.584,2.149,,,,
500,0.051,0.451,,,,
501,0.399,-0.015,,,,
502,1.407,2.431,,,,
503,0.509,0.839,,,,
504,-0.120,-0.244,,,,
505,1.238,1.162,,,,
506,0.136,0.479,,,,
507,2.089,3.331,,,,
508,-0.365,-0.875,,,,
509,2.715,4.439,,,,
510,0.323,0.639,,,,
511,0.098,-0.295,,,,
512,0.312,0.348,,,,
513,0.409,0.560,,,,
514,0.315,1.181,,,,
515,-0.490,-1.893,,,,
516,2.255,3.049,,,,
517,1.931,1.916,,,,
518,1.311,3.220,,,,
519,0.876,0.825,,,,
520,1.661,2.383,,,,
521,0.856,1.366,,,,
522,-0.053,0.067,,,,
523,-0.283,-0.360,,,,
524,0.391,1.168,,,,
525,0.312,0.835,,,,
526,0.471,0.524,,,,
527,0.621,1.396,,,,
528,0.388,-0.203,,,,
529,1.762,2.625,,,,
530,-0.732,-1.579,,,,
531,1.519,2.568,,,,
532,1.459,1.098,,,,
533,0.721,0.682,,,,
534,0.989,2.131,,,,
535,1.788,1.354,,,,
536,1.342,2.675,,,,
537,1.432,2.875,,,,
538,1.820,2.253,,,,
539,0.492,0.704,,,,
540,1.303,1.882,,,,
541,1.932,2.447,,,,
542,1.290,1.943,,,,
543,1.624,3.102,,,,
544,2.767,3.333,,,,
545,-0.637,-1.310,,,,
546,0.170,0.696,,,,
547,2.385,3.448,,,,
548,1.380,1.805,,,,
549,0.871,2.376,,,,
550,-0.531,-0.648,,,,
551,1.450,2.288,,,,
552,1.589,2.842,,,,
553,2.491,2.822,,,,
554,0.973,0.925,,,,
555,0.810,1.221,,,,
556,2.790,4.226,,,,
557,0.139,-0.047,,,,
558,1.100,1.148,,,,
559,0.984,0.968,,,,
560,0.791,1.404,,,,
561,0.994,1.778,,,,
562,-0.454,-1.091,,,,
563,1.591,2.052,,,,
564,-0.817,-0.434,,,,
565,0.891,0.451,,,,
566,1.116,1.365,,,,
567,1.333,2.390,,,,
568,1.569,1.854,,,,
569,1.483,1.951,,,,
570,1.743,2.459,,,,
571,-0.378,0.013,,,,
572,0.898,0.665,,,,
573,2.338,3.274,,,,
574,1.785,3.295,,,,
575,0.377,0.506,,,,
576,0.690,-0.485,,,,
577,-0.681,-0.715,,,,
578,1.411,2.296,,,,
579,0.334,0.967,,,,
580,2.325,3.141,,,,
581,1.020,2.529,,,,
582,0.924,0.989,,,,
583,-1.162,-1.648,,,,
584,1.306,3.380,,,,
585,0.934,0.684,,,,
586,1.013,1.254,,,,
587,0.690,0.549,,,,
588,-0.199,-0.077,,,,
589,0.118,0.202,,,,
590,0.822,1.907,,,,
591,1.541,1.460,,,,
592,0.367,0.913,,,,
593,0.279,0.573,,,,
594,0.875,1.229,,,,
595,0.526,1.161,,,,
596,1.224,1.430,,,,
597,0.353,0.747,,,,
598,-0.993,-1.547,,,,
599,2.746,3.628,,,,
600,1.040,2.083,,,,
601,0.927,1.384,,,,
602,2.355,4.311,,,,
603,2.024,4.249,,,,
604,1.606,2.786,,,,
605,2.799,4.338,,,,
606,2.542,4.029,,,,
607,-0.680,-1.868,,,,
608,1.431,2.997,,,,
609,1.033,1.722,,,,
610,1.640,3.189,,,,
611,1.914,2.759,,,,
612,0.887,1.113,,,,
613,0.298,0.417,,,,
614,0.391,0.579,,,,
615,-0.469,-0.421,,,,
616,-0.101,0.346,,,,
617,0.191,0.947,,,,
618,-0.557,-0.520,,,,
619,2.596,3.689,,,,
620,0.200,0.337,,,,
621,1.354,2.285,,,,
622,0.533,0.628,,,,
623,0.624,1.105,,,,
624,1.119,2.301,,,,
625,-1.114,-1.408,,,,
626,1.989,2.370,,,,
627,0.795,0.590,,,,
628,2.113,3.045,,,,
629,1.847,2.701,,,,
630,0.846,0.836,,,,
631,1.059,1.929,,,,
632,0.546,1.230,,,,
633,0.024,-0.973,,,,
634,1.777,1.975,,,,
635,0.795,1.308,,,,
636,0.541,1.311,,,,
637,1.837,2.128,,,,
638,1.138,2.275,,,,
639,-0.180,0.281,,,,
640,3.106,5.501,,,,
641,1.178,0.879,,,,
642,2.085,3.631,,,,
643,-0.162,-1.156,,,,
644,1.836,3.397,,,,
645,0.362,0.893,,,,
646,0.113,0.488,,,,
647,3.992,6.249,,,,
648,0.737,1.322,,,,
649,0.804,0.722,,,,
650,0.375,0.822,,,,
651,1.661,2.554,,,,
652,0.130,-0.641,,,,
653,0.920,1.331,,,,
654,0.777,0.445,,,,
655,2.296,3.362,,,,
656,3.283,5.107,,,,
657,0.386,0.574,,,,
658,1.183,2.315,,,,
659,0.863,0.867,,,,
660,1.161,1.303,,,,
661,2.544,3.802,,,,
662,0.637,0.908,,,,
663,1.444,2.373,,,,
664,0.930,1.535,,,,
665,1.321,1.458,,,,
666,0.836,1.583,,,,
667,1.765,2.260,,,,
668,1.945,4.397,,,,
669,0.679,0.737,,,,
670,1.586,3.131,,,,
671,0.320,0.423,,,,
672,0.745,0.833,,,,
673,0.495,1.104,,,,
674,2.072,2.701,,,,
675,0.086,-0.260,,,,
676,0.715,1.366,,,,
677,1.992,2.966,,,,
678,1.263,2.214,,,,
679,-0.088,-1.049,,,,
680,2.587,4.055,,,,
681,1.419,3.333,,,,
682,1.740,2.960,,,,
683,1.948,3.189,,,,
684,0.130,1.061,,,,
685,1.343,1.667,,,,
686,0.731,1.312,,,,
687,0.796,0.952,,,,
688,0.641,1.579,,,,
689,1.891,3.811,,,,
690,0.287,0.873,,,,
691,1.317,1.694,,,,
692,1.737,1.816,,,,
693,1.364,1.451,,,,
694,2.572,3.713,,,,
695,2.183,1.785,,,,
696,0.950,1.799,,,,
697,0.859,1.242,,,,
698,1.451,2.625,,,,
699,0.720,0.713,,,,
700,0.503,0.750,,,,
701,1.437,0.997,,,,
702,1.828,2.360,,,,
703,1.255,1.634,,,,
704,-0.074,0.041,,,,
705,2.482,3.078,,,,
706,-0.330,-0.580,,,,
707,1.388,2.667,,,,
708,1.623,2.644,,,,
709,0.242,-0.663,,,,
710,0.578,0.421,,,,
711,1.000,0.794,,,,
712,-0.015,-0.004,,,,
713,-1.008,-1.628,,,,
714,1.331,2.183,,,,
715,1.262,2.856,,,,
716,0.884,1.362,,,,
717,-0.010,-0.240,,,,
718,2.148,3.533,,,,
719,0.975,1.594,,,,
720,1.808,1.696,,,,
721,-0.840,-1.650,,,,
722,1.073,0.812,,,,
723,1.422,1.631,,,,
724,1.456,2.089,,,,
725,0.746,0.961,,,,
726,0.610,1.380,,,,
727,0.100,0.125,,,,
728,-0.174,-1.574,,,,
729,1.467,2.503,,,,
730,2.019,3.801,,,,
731,0.919,0.652,,,,
732,0.431,0.430,,,,
733,-0.100,0.319,,,,
734,0.476,0.695,,,,
735,1.903,2.246,,,,
736,1.788,2.052,,,,
737,-0.180,0.301,,,,
738,0.531,1.581,,,,
739,0.883,1.645,,,,
740,1.577,2.566,,,,
741,-0.649,-0.981,,,,
742,1.418,2.647,,,,
743,2.603,3.603,,,,
744,0.429,0.013,,,,
745,2.068,3.779,,,,
746,1.350,2.146,,,,
747,0.154,0.643,,,,
748,0.831,1.154,,,,
749,1.899,2.959,,,,
750,1.009,1.184,,,,
751,0.590,0.292,,,,
752,1.713,2.084,,,,
753,1.130,0.631,,,,
754,1.919,2.665,,,,
755,-0.583,-1.459,,,,
756,3.311,5.053,,,,
757,1.375,2.128,,,,
758,-0.849,-0.873,,,,
759,1.995,2.438,,,,
760,0.138,0.148,,,,
761,1.606,2.254,,,,
762,1.494,2.424,,,,
763,1.730,2.626,,,,
764,-0.310,-0.642,,,,
765,1.495,1.274,,,,
766,1.854,2.725,,,,
767,1.350,2.240,,,,
768,0.975,0.990,,,,
769,1.090,0.924,,,,
770,-0.098,-0.952,,,,
771,0.408,-0.321,,,,
772,1.276,2.620,,,,
773,2.375,3.065,,,,
774,1.389,2.015,,,,
775,1.340,2.550,,,,
776,1.970,2.627,,,,
777,-0.138,-0.055,,,,
778,1.723,2.263,,,,
779,-0.360,-0.359,,,,
780,0.863,1.309,,,,
781,2.820,4.621,,,,
782,1.747,2.677,,,,
783,2.198,2.403,,,,
784,2.764,3.754,,,,
785,-0.046,-0.531,,,,
786,0.755,0.601,,,,
787,0.379,0.501,,,,
788,0.247,0.820,,,,
789,1.803,2.509,,,,
790,-0.193,0.025,,,,
791,0.073,0.020,,,,
792,3.698,5.937,,,,
793,2.240,3.569,,,,
794,0.262,-0.210,,,,
795,2.134,3.119,,,,
796,1.471,1.851,,,,
797,0.154,0.934,,,,
798,0.690,2.398,,,,
799,2.015,3.208,,,,
800,1.171,1.157,,,,
801,0.945,1.346,,,,
802,-0.924,-1.690,,,,
803,0.880,1.044,,,,
804,1.464,1.691,,,,
805,1.019,1.533,,,,
806,-1.296,-1.829,,,,
807,0.522,0.789,,,,
808,1.065,0.034,,,,
809,-0.353,-0.216,,,,
810,0.822,0.785,,,,
811,1.190,1.435,,,,
812,1.726,3.072,,,,
813,-0.365,-1.012,,,,
814,0.664,0.973,,,,
815,-0.152,0.278,,,,
816,1.522,2.979,,,,
817,1.802,1.636,,,,
818,1.928,2.817,,,,
819,0.717,0.769,,,,
820,0.644,0.449,,,,
821,0.546,1.392,,,,
822,1.051,1.827,,,,
823,0.844,1.808,,,,
824,1.133,1.545,,,,
825,0.728,1.762,,,,
826,3.352,4.571,,,,
827,0.728,0.441,,,,
828,1.482,2.518,,,,
829,0.964,1.200,,,,
830,0.228,0.568,,,,
831,-1.461,-2.282,,,,
832,0.634,0.598,,,,
833,-1.541,-2.647,,,,
834,0.610,1.451,,,,
835,0.413,1.046,,,,
836,1.170,1.562,,,,
837,1.038,1.738,,,,
838,0.916,1.437,,,,
839,2.207,2.945,,,,
840,0.247,1.059,,,,
841,0.012,0.159,,,,
842,0.429,0.667,,,,
843,2.717,3.990,,,,
844,1.400,1.531,,,,
845,1.698,2.510,,,,
846,1.139,1.852,,,,
847,0.999,0.989,,,,
848,1.162,1.569,,,,
849,-0.018,-0.213,,,,
850,1.014,1.422,,,,
851,1.579,1.662,,,,
852,0.998,1.041,,,,
853,0.218,0.178,,,,
854,0.398,1.324,,,,
855,1.793,2.681,,,,
856,1.131,1.830,,,,
857,-0.161,0.175,,,,
858,1.182,2.153,,,,
859,-1.071,-1.599,,,,
860,1.053,0.942,,,,
861,-0.778,-1.188,,,,
862,2.315,3.627,,,,
863,0.952,1.427,,,,
864,1.552,1.771,,,,
865,-0.244,-0.694,,,,
866,-0.091,-0.407,,,,
867,-0.237,-0.613,,,,
868,2.520,3.814,,,,
869,2.449,4.017,,,,
870,0.792,0.387,,,,
871,0.328,1.299,,,,
872,0.461,0.184,,,,
873,2.413,4.395,,,,
874,0.855,1.674,,,,
875,0.898,1.370,,,,
876,0.532,1.017,,,,
877,1.039,0.576,,,,
878,0.675,1.101,,,,
879,1.760,2.550,,,,
880,1.196,1.753,,,,
881,1.464,1.470,,,,
882,3.235,4.975,,,,
883,1.962,4.322,,,,
884,0.694,1.531,,,,
885,1.231,2.065,,,,
886,1.130,1.882,,,,
887,0.082,0.679,,,,
888,1.905,3.226,,,,
889,-2.016,-2.503,,,,
890,1.026,2.048,,,,
891,3.163,5.974,,,,
892,1.106,1.515,,,,
893,2.547,3.437,,,,
894,2.871,4.876,,,,
895,-0.443,-0.403,,,,
896,3.221,5.310,,,,
897,0.350,0.259,,,,
898,1.630,2.505,,,,
899,1.799,3.331,,,,
900,0.450,1.674,,,,
901,0.779,1.713,,,,
902,2.143,2.952,,,,
903,0.689,0.460,,,,
904,1.115,2.629,,,,
905,1.411,0.863,,,,
906,-0.930,-1.532,,,,
907,-0.139,-0.526,,,,
908,-0.028,0.159,,,,
909,1.942,2.368,,,,
910,1.960,2.687,,,,
911,1.693,2.270,,,,
912,1.381,1.594,,,,
913,1.317,1.181,,,,
914,3.033,4.790,,,,
915,0.724,0.934,,,,
916,0.003,0.584,,,,
917,2.672,4.429,,,,
918,-0.002,-0.389,,,,
919,3.306,3.953,,,,
920,1.230,2.813,,,,
921,2.728,4.288,,,,
922,1.877,2.219,,,,
923,1.655,2.652,,,,
924,-0.551,-0.604,,,,
925,1.042,2.242,,,,
926,0.588,0.920,,,,
927,1.952,1.934,,,,
928,1.305,2.008,,,,
929,1.781,2.435,,,,
930,-0.427,-1.440,,,,
931,0.226,0.255,,,,
932,0.628,1.444,,,,
933,3.409,5.672,,,,
934,-0.355,-0.272,,,,
935,1.420,3.362,,,,
936,1.575,2.193,,,,
937,2.350,3.318,,,,
938,0.821,-0.053,,,,
939,1.303,1.737,,,,
940,1.900,3.258,,,,
941,1.609,2.916,,,,
942,2.618,4.531,,,,
943,1.299,1.510,,,,
944,2.077,2.766,,,,
945,0.744,1.378,,,,
946,0.979,1.844,,,,
947,1.483,2.654,,,,
948,0.127,-0.246,,,,
949,-0.316,-0.294,,,,
950,-0.151,-0.058,,,,
951,0.443,1.112,,,,
952,0.510,0.865,,,,
953,1.166,0.943,,,,
954,2.151,3.285,,,,
955,0.592,1.474,,,,
956,2.541,3.914,,,,
957,2.079,3.604,,,,
958,1.660,2.066,,,,
959,1.477,2.648,,,,
960,1.057,1.480,,,,
961,1.832,2.656,,,,
962,2.074,3.669,,,,
963,-0.041,0.279,,,,
964,-0.762,-1.037,,,,
965,1.973,2.674,,,,
966,0.062,0.885,,,,
967,1.595,2.586,,,,
968,0.126,-0.349,,,,
969,-0.411,-1.220,,,,
970,2.686,3.567,,,,
971,2.235,3.139,,,,
972,-0.023,1.028,,,,
973,1.135,1.548,,,,
974,2.728,3.714,,,,
975,0.158,0.627,,,,
976,2.000,3.377,,,,
977,1.092,1.856,,,,
